,date,visitsTumblr
270,9/27/11,53
271,9/28/11,118
272,9/29/11,93
273,9/30/11,58
274,10/1/11,56
275,10/2/11,52
276,10/3/11,47
277,10/4/11,250
278,10/5/11,121
279,10/6/11,91
280,10/7/11,93
281,10/8/11,41
282,10/9/11,52
283,10/10/11,580
284,10/11/11,230
285,10/12/11,119
286,10/13/11,99
287,10/14/11,109
288,10/15/11,252
289,10/16/11,97
290,10/17/11,176
291,10/18/11,196
292,10/19/11,145
293,10/20/11,128
294,10/21/11,142
295,10/22/11,81
296,10/23/11,64
297,10/24/11,108
298,10/25/11,68
299,10/26/11,77
300,10/27/11,138
301,10/28/11,89
302,10/29/11,57
303,10/30/11,60
304,10/31/11,69
305,11/1/11,184
306,11/2/11,356
307,11/3/11,118
308,11/4/11,214
309,11/5/11,145
310,11/6/11,114
311,11/7/11,191
312,11/8/11,131
313,11/9/11,157
314,11/10/11,632
315,11/11/11,758
316,11/12/11,191
317,11/13/11,140
318,11/14/11,305
319,11/15/11,313
320,11/16/11,378
321,11/17/11,306
322,11/18/11,251
323,11/19/11,142
324,11/20/11,164
325,11/21/11,178
326,11/22/11,175
327,11/23/11,261
328,11/24/11,320
329,11/25/11,142
330,11/26/11,124
331,11/27/11,386
332,11/28/11,4997
333,11/29/11,1372
334,11/30/11,657
335,12/1/11,562
336,12/2/11,420
337,12/3/11,229
338,12/4/11,156
339,12/5/11,255
340,12/6/11,262
341,12/7/11,253
342,12/8/11,304
343,12/9/11,202
344,12/10/11,90
345,12/11/11,76
346,12/12/11,232
347,12/13/11,212
348,12/14/11,306
349,12/15/11,196
350,12/16/11,319
351,12/17/11,185
352,12/18/11,377
353,12/19/11,307
354,12/20/11,270
355,12/21/11,334
356,12/22/11,295
357,12/23/11,120
358,12/24/11,74
359,12/25/11,55
360,12/26/11,75
361,12/27/11,81
362,12/28/11,159
363,12/29/11,121
364,12/30/11,72
365,12/31/11,59
366,1/1/12,68
367,1/2/12,152
368,1/3/12,332
369,1/4/12,199
370,1/5/12,223
371,1/6/12,261
372,1/7/12,132
373,1/8/12,277
374,1/9/12,313
375,1/10/12,255
376,1/11/12,263
377,1/12/12,741
378,1/13/12,442
379,1/14/12,122
380,1/15/12,155
381,1/16/12,250
382,1/17/12,203
383,1/18/12,198
384,1/19/12,221
385,1/20/12,244
386,1/21/12,107
387,1/22/12,221
388,1/23/12,265
389,1/24/12,1250
390,1/25/12,550
391,1/26/12,360
392,1/27/12,307
393,1/28/12,164
394,1/29/12,261
395,1/30/12,331
396,1/31/12,392
397,2/1/12,292
398,2/2/12,240
399,2/3/12,254
400,2/4/12,171
401,2/5/12,205
402,2/6/12,372
403,2/7/12,220
404,2/8/12,250
405,2/9/12,369
406,2/10/12,380
407,2/11/12,262
408,2/12/12,449
409,2/13/12,740
410,2/14/12,470
411,2/15/12,464
412,2/16/12,367
413,2/17/12,247
414,2/18/12,139
415,2/19/12,200
416,2/20/12,298
417,2/21/12,286
418,2/22/12,253
419,2/23/12,613
420,2/24/12,354
421,2/25/12,205
422,2/26/12,214
423,2/27/12,344
424,2/28/12,315
425,2/29/12,452
426,3/1/12,486
427,3/2/12,457
428,3/3/12,217
429,3/4/12,402
430,3/5/12,406
431,3/6/12,277
432,3/7/12,296
433,3/8/12,730
434,3/9/12,489
435,3/10/12,201
436,3/11/12,230
437,3/12/12,332
438,3/13/12,333
439,3/14/12,466
440,3/15/12,228
441,3/16/12,304
442,3/17/12,160
443,3/18/12,448
444,3/19/12,451
445,3/20/12,706
446,3/21/12,373
447,3/22/12,342
448,3/23/12,502
449,3/24/12,232
450,3/25/12,328
451,3/26/12,662
452,3/27/12,392
453,3/28/12,261
454,3/29/12,336
455,3/30/12,326
456,3/31/12,149
457,4/1/12,158
458,4/2/12,221
459,4/3/12,255
460,4/4/12,281
461,4/5/12,218
462,4/6/12,189
463,4/7/12,126
464,4/8/12,189
465,4/9/12,514
466,4/10/12,389
467,4/11/12,628
468,4/12/12,444
469,4/13/12,773
470,4/14/12,317
471,4/15/12,317
472,4/16/12,400
473,4/17/12,309
474,4/18/12,388
475,4/19/12,337
476,4/20/12,243
477,4/21/12,174
478,4/22/12,266
479,4/23/12,386
480,4/24/12,333
481,4/25/12,411
482,4/26/12,405
483,4/27/12,844
484,4/28/12,693
485,4/29/12,683
486,4/30/12,1081
487,5/1/12,666
488,5/2/12,622
489,5/3/12,461
490,5/4/12,464
491,5/5/12,279
492,5/6/12,313
493,5/7/12,1065
494,5/8/12,541
495,5/9/12,385
496,5/10/12,466
497,5/11/12,596
498,5/12/12,266
499,5/13/12,403
500,5/14/12,1376
501,5/15/12,654
502,5/16/12,509
503,5/17/12,333
504,5/18/12,355
505,5/19/12,172
506,5/20/12,458
507,5/21/12,465
508,5/22/12,421
509,5/23/12,307
510,5/24/12,581
511,5/25/12,303
512,5/26/12,146
513,5/27/12,231
514,5/28/12,314
515,5/29/12,417
516,5/30/12,753
517,5/31/12,444
518,6/1/12,628
519,6/2/12,236
520,6/3/12,238
521,6/4/12,436
522,6/5/12,355
523,6/6/12,283
524,6/7/12,243
525,6/8/12,188
526,6/9/12,104
527,6/10/12,191
528,6/11/12,539
529,6/12/12,320
530,6/13/12,254
531,6/14/12,189
532,6/15/12,287
533,6/16/12,118
534,6/17/12,336
535,6/18/12,647
536,6/19/12,386
537,6/20/12,415
538,6/21/12,297
539,6/22/12,641
540,6/23/12,217
541,6/24/12,398
542,6/25/12,558
543,6/26/12,892
544,6/27/12,551
545,6/28/12,612
546,6/29/12,1199
547,6/30/12,246
548,7/1/12,251
549,7/2/12,399
550,7/3/12,394
551,7/4/12,317
552,7/5/12,327
553,7/6/12,367
554,7/7/12,153
555,7/8/12,197
556,7/9/12,440
557,7/10/12,289
558,7/11/12,745
559,7/12/12,947
560,7/13/12,462
561,7/14/12,286
562,7/15/12,289
563,7/16/12,354
564,7/17/12,728
565,7/18/12,1296
566,7/19/12,1343
567,7/20/12,707
568,7/21/12,473
569,7/22/12,619
570,7/23/12,935
571,7/24/12,929
572,7/25/12,823
573,7/26/12,722
574,7/27/12,651
575,7/28/12,368
576,7/29/12,392
577,7/30/12,717
578,7/31/12,564
579,8/1/12,460
580,8/2/12,361
581,8/3/12,370
582,8/4/12,222
583,8/5/12,267
584,8/6/12,550
585,8/7/12,532
586,8/8/12,548
587,8/9/12,549
588,8/10/12,852
589,8/11/12,560
590,8/12/12,536
591,8/13/12,678
592,8/14/12,1047
593,8/15/12,711
594,8/16/12,480
595,8/17/12,782
596,8/18/12,365
597,8/19/12,310
598,8/20/12,719
599,8/21/12,843
600,8/22/12,634
